Consolidated List of Names subject to the Regulations Establishing a List of Entities made under subsection 83.05(1) of the Criminal Code or the Regulations Implementing the United Nations Resolutions 			
on the Suppression of Terrorism or the United Nations Al-Qaida and Taliban Regulations			
PART B – ENTITIES (other than individuals) (download version)1			
"(Names added to the list in October, 2009 are in bold)."			
ID #2	Entity	Address/Other Information	Basis3 (UNSC = United Nations Security Council; RIUNRST = Regulations Implementing the United Nations Resolutions on the Suppression of Terrorism; CC = Criminal Code)
2.00	Abu Nidal Organization (ANO)		"CC (February 12, 2003)"
2.01	Black September		"CC (February 12, 2003)"
2.02	Fatah Revolutionary Council		"CC (February 12, 2003)"
2.04	Arab Revolutionary Brigades		"CC (February 12, 2003)"
2.05	Revolutionary Organization of Socialist Muslims		"CC (February 12, 2003)"
2.06	Organisation Abou Nidal (OAN)		"CC (February 12, 2003)"
2.07	Revolutionary Council		"CC (February 12, 2003)"
2.08	Revolutionary Council of Fatah		"CC (February 12, 2003)"
2.09	Al-Fatah Revolutionary Council		"CC (February 12, 2003)"
2.10	Fatah-the Revolutionary Council		"CC (February 12, 2003)"
2.11	Black June		"CC (February 12, 2003)"
2.12	Egyptian Revolution		"CC (February 12, 2003)"
2.13	Arab Fedayeen Cells		"CC (February 12, 2003)"
2.14	Palestine Revolutionary Council		"CC (February 12, 2003)"
2.15	Organization of Jund al Haq		"CC (February 12, 2003)"
2.17	Conseil révolutionnaire Fatah		"CC (February 12, 2003)"
2.18	Conseil révolutionnaire		"CC (February 12, 2003)"
2.19	Conseil révolutionnaire du Fatah		"CC (February 12, 2003)"
2.20	Conseil révolutionnaire Al-Fatah		"CC (February 12, 2003)"
2.21	Fatah - le Conseil révolutionnaire		"CC (February 12, 2003)"
2.22	Juin noir		"CC (February 12, 2003)"
2.23	Brigades révolutionnaires arabes		"CC (February 12, 2003)"
2.24	Organisation révolutionnaire des musulmans socialistes		"CC (February 12, 2003)"
2.25	Septembre noir		"CC (February 12, 2003)"
2.26	Révolution égyptienne		"CC (February 12, 2003)"
2.27	Cellules des fedayins arabes		"CC (February 12, 2003)"
2.28	Conseil révolutionnaire de la Palestine		"CC (February 12, 2003)"
2.29	Organisation Jund al Haq		"CC (February 12, 2003)"
3.00	Abu Sayyaf Group		"UNSC (October 6, 2001)"
3.01	Al Harakat Al Islamiyya		"UNSC (October 6, 2001)"
3.02	Abu Sayyaf Group (ASG)		"CC (February 12, 2003)"
3.03	Al Harakat Al Islamiyya (AHAI)		"CC (February 12, 2003)"
3.04	Al Harakat-ul Al Islamiyya		"CC (February 12, 2003)"
3.05	Al-Harakatul-Islamia		"CC (February 12, 2003)"
3.06	Al Harakat Al Aslamiya		"CC (February 12, 2003)"
3.07	Abou Sayaf Armed Band (ASAB)		"CC (February 12, 2003)"
3.08	Abu Sayaff Group		"CC (February 12, 2003)"
3.09	Abu Sayyef Group		"CC (February 12, 2003)"
3.10	Mujahideen Commando Freedom Fighters (MCFF)		"CC (February 12, 2003)"
3.11	Groupe Abou Sayyaf (GAS)		"CC (February 12, 2003)"
3.12	Bande armée Abou Sayaf (BAAS)		"CC (February 12, 2003)"
3.13	Groupe Abou Sayyaf		"CC (February 12, 2003)"
3.14	Groupe Abou Sayyef		"CC (February 12, 2003)"
5.00	Afghan Support Committee (ASC)	"Headquarters - G.T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi, Peshawar, Pakistan; Cheprahar Hadda, Mia Omar Sabaqah School, Jalabad, Afghanistan"	"UNSC (January 11, 2002)"
5.01	Lajnat ul Masa Eidatul Afghaniab	"Headquarters - G.T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi, Peshawar, Pakistan; Cheprahar Hadda, Mia Omar Sabaqah School, Jalabad, Afghanistan"	"UNSC (January 11, 2002)"
5.02	Jamait Ayat-ur-Rhas al Islamia	"Headquarters - G.T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi, Peshawar, Pakistan; Cheprahar Hadda, Mia Omar Sabaqah School, Jalabad, Afghanistan"	"UNSC (January 11, 2002)"
5.03	Jamiat Ihya ul Turath al Islamia	"Headquarters - G.T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi, Peshawar, Pakistan; Cheprahar Hadda, Mia Omar Sabaqah School, Jalabad, Afghanistan"	"UNSC (January 11, 2002)"
5.04	Ahya ul Turas	"Headquarters - G.T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi, Peshawar, Pakistan; Cheprahar Hadda, Mia Omar Sabaqah School, Jalabad, Afghanistan"	"UNSC (January 11, 2002)"
7.00	Al Aqsa Islamic Bank		"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
8.01	Al-Aqsa Martyrs Batallion		"CC (April 2, 2003)"
8.04	Al-Aqsa Martyrs' Brigade (AAMB)		"CC (April 2, 2003)"
8.06	Al-Aqsa Intifada Martyrs' Group		"CC (April 2, 2003)"
8.07	Al-Aqsa Brigades		"CC (April 2, 2003)"
8.08	Martyrs of al-Aqsa group		"CC (April 2, 2003)"
8.09	Armed Militias of the Al-Aqsa Martyr Battalions		"CC (April 2, 2003)"
8.10	La Brigade des martyrs d'Al-Aqsa (BMAA)		"CC (April 2, 2003)"
8.12	Groupe des martyrs de l'intifada d'Al-Aqsa		"CC (April 2, 2003)"
8.13	Brigades d'al-Aqsa		"CC (April 2, 2003)"
8.14	Groupe des martyrs d'al-Aqsa		"CC (April 2, 2003)"
8.15	Le bataillon des martyrs d'al-Aqsa		"CC (April 2, 2003)"
8.16	Milices armées des bataillons des martyrs d'Al-Aqsa		"CC (April 2, 2003)"
9.00	Al Baraka Exchange L.L.C.	"P.O. Box 3313, Deira, Dubai, United Arab Emirates; P.O. BOx 20066 Dubai, United Arab Emirates; Reported to be owned or controlled by Ali Ahmed Nur Jim’Ale (QI.J.41.01)."	"UNSC (November 9, 2001); UNSC (March 23, 2009)"
10.00	Al-Barakaat	"Mogadishu, Somalia; Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
11.00	Al-Barakaat Bank	"Mogadishu, Somalia"	"UNSC (November 9, 2001)"
12.00	Al-Barakat Bank of Somalia (Bss)	"Bossaso, Somalia; Mogadishu, Somalia"	"UNSC (November 9, 2001)"
